NAME,FLOW_RATE,SPEED,DENSITY,TRAVEL_TIME
det2,0.175555556,19.1007384,0.009191035,NaN
det2,0.168888889,19.53033626,0.008647516,NaN
det2,0.17,21.08629868,0.008062107,NaN
det2,0.185555556,19.62907518,0.009453097,NaN
det2,0.175555556,20.10460619,0.008732106,NaN
det2,0.162222222,20.23528665,0.008016799,NaN
det2,0.156666667,20.07650384,0.007803484,NaN
det2,0.152222222,20.87287102,0.007292826,NaN
det2,0.136666667,20.46522132,0.006677996,NaN
det2,0.15,20.86042523,0.007190649,NaN
det2,0.161111111,20.30810987,0.007933339,NaN
det2,0.156666667,20.85500394,0.007512186,NaN
det2,0.13,21.3932415,0.006076685,NaN
det2,0.147777778,20.14689503,0.007335015,NaN
det2,0.117777778,21.0783543,0.005587617,NaN
det2,0.145555556,20.92027142,0.006957632,NaN
det2,0.14,21.2345679,0.006593023,NaN
det2,0.123333333,21.75175175,0.005670041,NaN
det2,0.114444444,22.01186624,0.005199216,NaN
det2,0.107777778,21.33018328,0.005052829,NaN
det2,0.108888889,22.34693878,0.004872653,NaN
det2,0.136666667,21.09756099,0.006477842,NaN
det2,0.123333333,21.77552553,0.005663851,NaN
det2,0.101111111,21.77503053,0.004643443,NaN
det2,0.111111111,20.85277778,0.00532836,NaN
det2,0.11,21.58670034,0.00509573,NaN
det2,0.096666667,23.00446999,0.004202082,NaN
det2,0.103333333,21.02299876,0.004915252,NaN
det2,0.102222222,20.04981884,0.005098411,NaN
det2,0.087777778,22.12552743,0.003967263,NaN
det2,0.086666667,21.1235755,0.004102841,NaN
det2,0.077777778,22.08333333,0.003522013,NaN
det2,0.081111111,21.41045158,0.003788389,NaN
det2,0.085555556,21.87049062,0.003911918,NaN
det2,0.09,21.38888889,0.004207792,NaN
det2,0.082222222,21.47897898,0.003828032,NaN
det2,0.083333333,21.33333333,0.00390625,NaN
det2,0.067777778,22.34061931,0.003033836,NaN
det2,0.08,21.55478395,0.003711473,NaN
det2,0.053333333,20.42824074,0.002610765,NaN
det2,0.078888889,21.10524257,0.003737881,NaN
det2,0.078888889,22.32589984,0.003533514,NaN
det2,0.058888889,22.15408805,0.00265815,NaN
det2,0.084444444,22.18567251,0.00380626,NaN
det2,0.066666667,23.03240741,0.002894472,NaN
det2,0.055555556,23.07777778,0.002407318,NaN
det2,0.051111111,22.34601449,0.002287258,NaN
det2,0.054444444,21.27834467,0.002558679,NaN
det2,0.046666667,21.42526455,0.002178114,NaN
